Date,Close,High,Low,Open,Volume,Ticker
2024-04-30,168.7938232421875,173.4117990890393,168.46679764398493,171.76676673002254,65934800,AAPL
2024-05-01,167.7731170654297,171.15236652369296,167.58482822154218,168.05059058657778,50383100,AAPL
2024-05-02,171.46949768066406,171.85597979307556,169.34879824722077,170.95418315705703,94214900,AAPL
2024-05-03,181.7261199951172,185.31346675883958,181.01261238934663,184.96661732338913,163224100,AAPL
2024-05-06,180.0712127685547,182.53874644704828,178.79283846563771,180.70544017490002,78569700,AAPL
2024-05-07,180.75497436523438,183.23242749590466,179.68472791941784,181.79550770435065,77305800,AAPL
2024-05-08,181.09190368652344,181.41892928578648,179.81352951475225,181.20091221961113,45057100,AAPL
2024-05-09,182.90542602539062,182.99461071341904,180.46760537105857,180.9135439323752,48983000,AAPL
2024-05-10,181.64515686035156,183.66949389545601,180.7322193628195,183.48094965782863,50759500,AAPL
2024-05-13,184.85035705566406,185.6640710757596,183.2030934113359,184.01680743143146,72044800,AAPL
2024-05-14,185.9915313720703,186.8548647149755,184.8602810891409,186.07091921634225,52393600,AAPL
2024-05-15,188.2639617919922,189.1868170758504,185.93199122253947,186.46785537715886,70400000,AAPL
2024-05-16,188.383056640625,189.6333963773736,188.20444533062346,189.0082265089993,52845200,AAPL
2024-05-17,188.4127960205078,189.34558420614056,187.7280891548122,188.05555831413108,41282900,AAPL
2024-05-20,189.57382202148438,190.44707314635468,187.5594028379898,187.87695420764547,44361300,AAPL
2024-05-21,190.873779296875,191.25085261805762,189.4547462309282,189.62343971650407,42309400,AAPL
2024-05-22,189.4348907470703,191.34016861791716,188.80973611420333,190.79438668312676,34648500,AAPL
2024-05-23,185.44578552246094,189.53416154393335,185.19770415918353,189.51431079519944,51005900,AAPL
2024-05-24,188.52195739746094,189.11735863774422,186.59684388111853,187.37087155015982,36327000,AAPL
2024-05-28,188.5319061279297,191.51880009814326,187.64873713728954,190.04022981736387,52280100,AAPL
2024-05-29,188.82957458496094,190.7745388343773,188.05556206266323,188.15480064928906,53068000,AAPL
2024-05-30,189.8218994140625,190.70506832278696,189.16697622567534,189.29596821795033,49889100,AAPL
2024-05-31,190.7745361328125,191.09208749217237,188.45249859880175,189.9707550742459,75158300,AAPL
2024-06-03,192.5408935546875,193.49353258818425,191.04248767189634,191.41956102246726,50080500,AAPL
2024-06-04,192.85842895507812,193.82098571162214,191.54855228534223,193.14619663099631,47471400,AAPL
2024-06-05,194.36676025390625,195.38885414673365,193.3744349100596,193.90036613096368,54156800,AAPL
2024-06-06,192.98744201660156,194.99194358986873,192.679823561343,194.1881624282746,41181800,AAPL
2024-06-07,195.37893676757812,195.42855606321456,192.65004206608782,193.1561225415401,53103900,AAPL
2024-06-10,191.63787841796875,195.78580650726497,190.67532155851157,195.3888672580803,97010200,AAPL
2024-06-11,205.56016540527344,205.57009834825277,192.14393919328205,192.16377479587797,172373300,AAPL
2024-06-12,211.43475341796875,218.51002232587345,205.3120931521647,205.7784872423207,198134300,AAPL
2024-06-13,212.59576416015625,215.08649505325084,209.97602614095345,213.09192677850285,97862700,AAPL
2024-06-14,210.8592071533203,213.51863167298376,209.67833763090172,212.20877015870124,70122700,AAPL
2024-06-17,215.0071258544922,217.2696263789355,211.08744385812574,211.73244926121387,93728300,AAPL
2024-06-18,212.64541625976562,216.95212026584522,211.36532307811277,215.92009330762266,79943300,AAPL
2024-06-20,208.0707550048828,212.59577094768608,207.2471383568116,212.28813739547695,86172500,AAPL
2024-06-21,205.89759826660156,210.26382387597764,205.5205097773767,208.77533580800622,241805100,AAPL
2024-06-24,206.54258728027344,211.0675882243761,205.00448003735443,206.12581247138846,80727000,AAPL
