Ticker,PE_Ratio,PB_Ratio,EV_EBITDA,EPS,ROE,ROA,Profit_Margin,Operating_Margin,Revenue_Growth,Earnings_Growth,Debt_to_Equity,Current_Ratio,Quick_Ratio,Free_Cash_Flow,Operating_Cash_Flow,Dividend_Yield,Market_Cap,Total_Revenue,Total_Debt,Last_Close,52W_High,52W_Low
MCD,24.274477,-115.1568,17.824,11.95,,0.13508001,0.3185,0.45071,0.097,0.082,,0.955,0.743,6296124928.0,10551000064.0,2.56,206196867072.0,26884999168.0,54829998080.0,290.0799865722656,339.8515172928989,278.63186715800936
WMT,46.890106,10.23998,24.639,2.73,0.21847,0.06834,0.0307,0.04567,0.056,-0.19,64.443,0.79,0.204,10554250240.0,41564999680.0,0.77,1020366487552.0,713163014144.0,68425998336.0,128.00999450683594,134.4141406494094,91.30200698383167
BAC,13.154229,1.3676805,,4.02,0.10644,0.00927,0.28956,0.35956,0.118,0.233,,,,,,2.12,377029558272.0,109590003712.0,780551979008.0,52.880001068115234,57.226487784651276,37.96605872048864
CRM,23.263159,2.8465962,13.979,7.79,0.123959996,0.05179,0.17958,0.19239001,0.121,0.179,29.947,0.76,0.644,16366999552.0,14995999744.0,0.97,148247707648.0,41524998144.0,17710999552.0,181.22000122070312,293.856997988811,163.52000427246094
ACN,14.77541,3.5510814,8.73,12.2,0.24763,0.11163,0.10606,0.13819,0.083,0.04,25.469,1.336,1.2,12164313088.0,13080248320.0,3.62,110938333184.0,72110325760.0,8347366912.0,180.25999450683594,321.36384797080194,173.83999633789062
LIN,34.592873,6.119106,19.365,14.59,0.17817,0.07172,0.20297001,0.28172,0.058,-0.094,70.63,0.877,0.692,4786500096.0,10350000128.0,1.27,233879650304.0,33986000896.0,28068999168.0,504.7099914550781,515.6300048828125,386.48182728929964
TMO,25.646864,3.284539,18.902,18.18,0.13523,0.04996,0.15151,0.17892,0.062,0.113,82.905,1.526,0.852,5511000064.0,8287000064.0,0.38,173272186880.0,45197000704.0,43161001984.0,466.260009765625,643.3539757198577,384.44484600055983
CSCO,32.219425,7.4116673,22.697,2.78,0.23754999,0.06994,0.18756,0.24868,0.097,0.312,66.509,0.955,0.737,10129500160.0,13324999680.0,1.88,353791934464.0,59053998080.0,31740000256.0,89.56999969482422,90.44999694824219,55.18967668484735
ABT,25.582634,3.042508,13.54,3.57,,,0.13904999,0.16499001,0.078,-0.197,26.787,,,,,2.76,158702583808.0,45134000128.0,14136000512.0,91.33000183105469,136.2761117482488,90.72000122070312
ADBE,14.185789,8.649503,10.322,17.17,0.58774,0.18905,0.29477,0.38762,0.12,0.111,58.34,0.912,0.789,9321374720.0,10506999808.0,,98450997248.0,24452999168.0,6670000128.0,243.57000732421875,422.95001220703125,224.1300048828125
NKE,29.203947,4.6628146,17.82,1.52,0.16016,0.05195,0.04836,0.06942,0.001,-0.348,79.333,2.139,1.239,1313874944.0,1694000000.0,3.69,65736572928.0,46522998784.0,11178000384.0,44.38999938964844,78.72701901337247,42.09000015258789
DIS,14.918999,1.658508,11.704,6.79,0.12024,0.04366,0.128,0.15361,0.052,-0.043,40.909,0.669,0.545,3174500096.0,15630999552.0,1.48,179454967808.0,95715999744.0,46640001024.0,101.30000305175781,123.85203565522283,87.59131252721842
TXN,46.099316,14.602159,29.309,5.84,0.32347,0.12161,0.29108,0.37824002,0.186,0.313,83.741,4.456,2.827,1068249984.0,7824000000.0,2.11,245015183360.0,18438000640.0,14049999872.0,269.2200012207031,287.8299865722656,151.43939640123875
NEE,23.901014,3.5561345,21.908,3.94,0.10325,0.02412,0.29369,0.30175,0.073,1.6,156.686,0.542,0.338,-18453374976.0,12330000384.0,2.65,196376592384.0,27865999360.0,104403001344.0,94.16999816894531,97.62999725341797,62.035073574638794
PM,22.88467,-25.344238,16.246,7.11,,0.15456,0.26742,0.36044,0.091,-0.093,,0.976,0.452,8575249920.0,12184000512.0,3.61,253593124864.0,41493000192.0,51975000064.0,162.7100067138672,189.60739461359395,139.57953994024888
DHR,34.58414,2.3897994,17.711,5.17,0.0708,0.0419,0.14887999,0.22937,0.037,0.098,37.17,1.868,1.402,4568500224.0,6439000064.0,0.89,126549393408.0,24778000384.0,19683999744.0,178.8000030517578,242.28353610573208,175.0
RTX,32.47932,3.5548377,17.465,5.32,0.11571,0.040510003,0.080290005,0.13182001,0.087,0.325,57.229,1.024,0.646,7233375232.0,11116999680.0,1.57,232693415936.0,90372997120.0,38934999040.0,172.7899932861328,214.5,121.54817153071171
AMGN,23.754042,21.035534,13.752,14.23,1.0610299,0.07931,0.20982,0.30549,0.086,1.121,640.275,1.14,0.734,7501875200.0,9957999616.0,2.98,182215639040.0,36750999552.0,55435001856.0,338.0199890136719,391.2900085449219,253.47774475265845
QCOM,16.774193,7.2615557,12.311,9.3,0.2148,0.14047,0.11958,0.27473,0.05,-0.018,64.218,2.505,1.626,10423374848.0,14389999616.0,2.36,166615040000.0,44866998272.0,14817000448.0,156.0,203.59584897530524,121.98999786376953
LOW,19.721283,-13.209255,14.07,11.84,,0.13119,0.07712,0.08555,0.109,-0.11,,1.077,0.106,4987375104.0,9863999488.0,2.06,130774687744.0,86286000128.0,44677001216.0,233.5,291.6599807878868,206.27271050154138
HON,33.540672,9.805567,18.73,6.27,0.24264,0.05953,0.1089,0.21,0.024,-0.419,257.387,1.385,0.926,2936875008.0,5160999936.0,2.26,133257256960.0,37660000256.0,37751001088.0,210.3000030517578,248.17999267578125,185.8373534576928
UPS,17.250809,5.5778785,9.526,6.18,0.33353,0.072670005,0.05943,0.06292,-0.016,-0.272,181.508,1.213,1.073,4676749824.0,8355999744.0,6.15,90583629824.0,88317001728.0,28661999616.0,106.61000061035156,120.72640319855104,79.49033867248721
MDT,22.170393,2.0794363,12.903,3.58,0.0939,0.04567,0.13,0.20007,0.087,-0.118,57.06,2.535,1.553,4073125120.0,7285000192.0,3.58,101901950976.0,35484000256.0,28071000064.0,79.37000274658203,104.69904541598052,77.46787346683175
BMY,16.644508,6.3474045,8.047,3.46,0.40442002,0.10293,0.14637,0.28163,0.013,13.921,254.982,1.255,1.076,11146874880.0,14156000256.0,4.38,117583544320.0,48193998848.0,47187001344.0,57.59000015258789,62.24815957913965,41.455154204548
SBUX,80.534355,-14.326453,26.496,1.31,,0.07377,0.03888,0.084180005,0.088,0.326,,0.922,0.261,-1304087552.0,4345699840.0,2.35,120238350336.0,38471598080.0,24408500224.0,105.5,107.2699966430664,73.4727287993859
INTU,25.704618,5.7533965,18.532,15.37,0.23457001,0.10328,0.2157,0.18383,0.174,0.485,36.148,1.323,0.479,5301374976.0,6983000064.0,1.17,109940523008.0,20120999936.0,6888000000.0,395.0799865722656,808.2248144461021,342.1099853515625
