Ticker,PE_Ratio,PB_Ratio,EV_EBITDA,EPS,ROE,ROA,Profit_Margin,Operating_Margin,Revenue_Growth,Earnings_Growth,Debt_to_Equity,Current_Ratio,Quick_Ratio,Free_Cash_Flow,Operating_Cash_Flow,Dividend_Yield,Market_Cap,Total_Revenue,Total_Debt,Last_Close,52W_High,52W_Low,Price_SMA20_Ratio,Price_SMA50_Ratio,Price_SMA200_Ratio,Price_EMA12_Ratio,Price_EMA26_Ratio,RSI,MACD,MACD_Signal,MACD_Hist,BB_Bandwidth,BB_PctB,Volatility_20D,Volatility_Full,Momentum_10D,Return_1M,Return_3M,Return_6M,Return_12M,Volume_Ratio,ATR_Pct,Dist_52W_High,Dist_52W_Low,OBV_Slope
V,29.143602,16.714584,20.113,11.49,0.60349,0.1936,0.51679003,0.67346,0.171,0.267,67.233,1.088,0.669,20974249984.0,22755999744.0,0.8,636993208320.0,43027001344.0,23975999488.0,334.8599853515625,373.33954825373667,293.8900146484375,1.0796937135959368,1.0792569922324717,1.0084725403412218,1.0670257724327172,1.075230087801956,72.36208283454069,2.3945796206187993,0.6874073431523336,1.7071722774664657,0.09573275968441589,1.332460213814457,0.32728261108042683,0.21953595656005617,0.05998538023418094,0.11791405421337466,0.026211062179305886,-0.03336452764925502,-0.0004264226058456791,2.5135937156760093,0.023180367475145076,0.09778269330402435,0.13312127030456342,766952.6315789408
UNH,28.00151,3.5691316,17.96,13.24,0.121759996,0.03783,0.02678,0.080469996,0.02,0.007,73.982,0.798,0.507,17687500800.0,23153000448.0,2.38,336710959104.0,449713012736.0,77917003776.0,370.739990234375,410.1835258700657,229.78581520843133,1.1470010555303214,1.246377628912311,1.191669953047483,1.0786122619578962,1.1480435484710256,85.37182280693771,20.787436287482706,15.840818580572389,4.946617706910317,0.353697455744696,0.9156124200012028,0.405046973182779,0.4223094840423145,0.18051267201060367,0.41617318512275403,0.27073749252624757,0.027745402140105555,-0.09239474302925718,0.977386170711201,0.02608282127964109,0.07351207513055277,0.5919050911537511,5183907.518796997
XOM,23.085075,2.491904,11.644,6.7,0.110810004,0.04902,0.089049995,0.09527001,-0.013,-0.11,18.936,1.153,0.764,12229749760.0,51969998848.0,2.66,642895052800.0,323904995328.0,50487001088.0,154.6699981689453,176.41000366210938,98.7297012111472,1.0108390490655463,0.999715596779484,1.224502839319233,1.022026843877789,1.0108120485719645,52.8333925176759,-1.679054213028337,-1.6150158927254603,-0.0640383203028767,0.13734387127221206,0.5789190588931595,0.3403205581672515,0.23484005798339255,0.03798405389411459,-0.0979763394888773,0.13171194037832726,0.35469017791943,0.47274550951470073,0.7351318660867735,0.029014155700509303,0.0979763394888773,0.5567544165326811,-2080961.9548872209
PG,21.412281,6.3454795,14.645,6.84,0.31112,0.10925999,0.19162,0.23047,0.074,0.058,67.651,0.732,0.487,12733750272.0,19409999872.0,2.91,341046624256.0,86716997632.0,37026000896.0,146.4600067138672,166.2087279699122,135.62848383699432,1.0171770118787784,0.9834836300244024,0.9859829405795272,1.0064380428973891,1.0068119577919332,52.16518695126479,0.054045110035247035,-0.8751510843840948,0.9291961944193419,0.06867073405924268,0.7501358419142539,0.22543186779757207,0.18292725920714814,0.029173230524695476,0.019643838637461192,0.001512535545263534,-0.020623788904412996,-0.06905673743594579,1.0434276397346263,0.02013431489957938,0.11744698559838407,0.07657614258034305,292519.24812029785
MA,31.755136,60.69216,23.236,16.54,0.245135,0.23719999,0.45646998,0.57733,0.176,0.242,256.042,1.035,0.681,16269375488.0,17648001024.0,0.66,464501080064.0,32790999040.0,19832999936.0,525.22998046875,599.0458118803059,479.6756969999703,1.0343779874857577,1.035625278615514,0.9598839241765043,1.0283690825903904,1.0322466194425384,61.31166405814478,1.9185492906428863,0.9116525833547414,1.0068967072881447,0.07267644806031844,0.9730278983533336,0.20687949914787832,0.21190395633794484,0.010135314780740754,0.06504570465819064,0.009134711905239911,-0.07938555866443546,-0.011520321262259266,1.811341824946092,0.0220007879849493,0.11910897972921514,0.08651201314617002,167041.80451127642
HD,22.66924,25.09406,15.435,14.24,1.45541,0.12977,0.08596,0.100760005,-0.038,-0.142,66.509,1.061,0.215,8622749696.0,16325000192.0,2.89,321527676928.0,164683005952.0,65908998144.0,322.80999755859375,421.1917041257131,315.30999755859375,0.9616527502012543,0.9363249337126586,0.8787409745142004,0.9641194718367342,0.9566742512736868,37.68960409863123,-2.6057311537302326,-1.7409219051934746,-0.864809248536758,0.10176560833551418,0.1231806557641999,0.31460638435423954,0.22974282200474985,-0.04750525487458672,-0.0021329287215030913,-0.13411090459046127,-0.15106288105645413,-0.0727062716628267,1.189894448087024,0.02587341041665498,0.22755188910927876,0.012673741833170504,-72001.9548872167
LLY,37.041344,28.70376,25.15,22.98,1.01159,0.19415002,0.31667,0.44896,0.426,0.514,165.31,1.579,0.777,1951000064.0,16812999680.0,0.73,760434786304.0,65179000832.0,43865001984.0,209.7750015258789,258.8100051879883,620.4646509007584,0.9290758620305566,0.895470246879681,0.9375909213555588,0.9514382325547429,0.9299443399209625,33.284454373766664,-20.67827224691962,-16.10687126180208,-4.571400985117538,0.12267130830860147,-0.07816402993780071,0.30229309416430394,0.37462219073771363,-0.05946764812437433,-0.03994900095315156,-0.16719012534882233,0.033243744016029024,-0.022543856907102793,1.3212713620984977,0.03130315479326437,0.2318226198755447,0.36779082102217225,-1165264.8872180493
MRK,15.240384,5.2192116,10.663,7.28,0.36882,0.12042,0.28078,0.32773998,0.05,-0.193,95.959,1.536,0.963,11886749696.0,16472000512.0,3.06,274033098752.0,65010999296.0,50533998592.0,110.94999694824219,124.21993517165414,70.74024076787555,0.9475050359447675,0.9429600113843787,1.1269762987260297,0.9748969912492655,0.958652621576477,37.92968273667497,-1.9284579098294614,-0.9416880159898897,-0.9867698938395717,0.14593104159403752,0.14027554739678286,0.27664616314595053,0.2702606739524787,-0.058948299301855404,-0.06054192733495814,0.04557316419073694,0.2809896884404865,0.38214227501065656,1.0919251699843573,0.02614055298243274,0.09928562531769788,0.5649984255785058,-3950157.4436090225
ABBV,99.94608,6.23229275,17.82,2.04,0.245135,0.08571,0.05786,0.31555998,0.124,-0.458,66.509,1.1465,0.7705,9033812480.0,14813499904.0,3.39,360632942592.0,62819000320.0,43889999872.0,203.88999938964844,239.13390543920303,170.99918798723203,0.9936726366377076,0.9534832368044659,0.9508240319641154,1.005912192861252,0.9884892725241539,45.986189701009856,-3.5726036910135406,-3.422841868291448,-0.14976182272209249,0.0839023246201884,0.42458655477145224,0.24775651602545878,0.25996070143686717,-0.021734952591376845,-0.03537207644783146,-0.05985501143507862,-0.09119162604321128,0.09458433616653766,1.5598760053569045,0.027790135028592247,0.1458812646326761,0.18649892939132917,-1399393.0827067685
CVX,28.992458,2.0415273,11.419,6.63,0.07231,0.03794,0.06661,0.09462,-0.082,-0.238,24.323,1.155,0.724,13200749568.0,33938999296.0,3.7,382882775040.0,184654004224.0,46742999040.0,192.22000122070312,214.7100067138672,128.36338363956017,1.0121769808203231,0.9978239184508121,1.1718949576154505,1.019898649367769,1.0094006708700913,52.64163797185752,-1.96012446312443,-1.9670137301113315,0.006889266986901621,0.11281808282566964,0.6079346547586654,0.31102636787183824,0.23227981361131017,0.03953273167389845,-0.087750960580968,0.14223722476902423,0.263962978503861,0.4337633372519789,0.7650234968527598,0.026391082274818702,0.08965187413200504,0.4824373375666282,-2628511.4285714338
